Title,Celebrities,Movie Reference,Release Date,Imdb Rating
Gone with the Wind,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",https://www.imdb.com/title/tt0031381/,1939,8.1
The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",https://www.imdb.com/title/tt0120382/,1998,8.1
Smultronstället,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",https://www.imdb.com/title/tt0050986/,1957,8.1
Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",https://www.imdb.com/title/tt0266543/,2003,8.1
Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",https://www.imdb.com/title/tt0083658/,1982,8.1
Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",https://www.imdb.com/title/tt0079944/,1979,8.1
Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",https://www.imdb.com/title/tt0266697/,2003,8.1
The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",https://www.imdb.com/title/tt0050212/,1957,8.1
Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",https://www.imdb.com/title/tt3170832/,2015,8.1
Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",https://www.imdb.com/title/tt0116282/,1996,8.1
Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",https://www.imdb.com/title/tt0353969/,2003,8.1
Vikram Vedha,"Gayatri (dir.), Madhavan, Vijay Sethupathi",https://www.imdb.com/title/tt6148156/,2017,8.1
Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",https://www.imdb.com/title/tt0046438/,1953,8.1
The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",https://www.imdb.com/title/tt0041959/,1949,8.1
Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",https://www.imdb.com/title/tt1205489/,2008,8.1
On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",https://www.imdb.com/title/tt0047296/,1954,8.1
Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",https://www.imdb.com/title/tt3011894/,2014,8.1
The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",https://www.imdb.com/title/tt0077416/,1978,8.1
Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",https://www.imdb.com/title/tt4729430/,2019,8.1
In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",https://www.imdb.com/title/tt0107207/,1993,8.1
Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",https://www.imdb.com/title/tt0978762/,2009,8.1
Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",https://www.imdb.com/title/tt2267998/,2014,8.1
The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",https://www.imdb.com/title/tt2278388/,2014,8.1
